id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
3200,Virgin Ghee,Ghrita,Oil,945.8634360994057,1.094190097656191,0.0,102.17095996057934,1.5303371324373076,"K,E,D,B3","Zinc,Selenium,Magnesium,Copper,Iron","Kashaya,Amla,Lavana",Ushna,Amla,Teekshna,"Balances Pitta,Balances Kapha,Reduces Pitta","Autumn,Winter",Laghu,Coastal,"Kapha imbalance,Thyroid disorder,High cholesterol,Kidney disease,Obesity","Turmeric + Milk,Coriander + Coconut,Fennel + Mint","Weight management,Cooling agent,Joint health",1 tsp
3201,Crystallized Molasses,Crystallized Guda,Sweetener,362.5808967843337,1.1493702728104278,94.1777494842958,4.8115102587081955,0.0,"E,C","Potassium,Sodium,Manganese",Lavana,Shita,Katu,Manda,Aggravates Pitta,"Monsoon,Autumn",Laghu,"Pan-India,North India","Kapha imbalance,Thyroid disorder,Allergy,Diabetes,Obesity","Fennel + Mint,Ginger + Honey,Black pepper + Turmeric","Immunity enhancer,Cooling agent",1 cube
3202,Lean Pork,Lean Mamsa,Meat,215.67776617747523,24.675521166830784,0.0,16.30832937296249,1.3767283593631692,"C,D,B2","Magnesium,Sodium,Iron,Selenium,Zinc",Katu,Ushna,Katu,Ruksha,"Aggravates Vata,Aggravates Kapha,Balances Kapha","Spring,All",Guru,Pan-India,"High cholesterol,Heart disease","Milk + Ghee,Cloves + Tea,Coriander + Coconut",Cooling agent,1 piece
3203,Golden Rice,Shali,Grain,316.23620950718873,8.043587235325322,77.93486821725507,5.712632826523496,3.7427778386272452,B6,"Potassium,Sodium",Katu,Shita,Madhura,"Teekshna,Laghu","Reduces Pitta,Reduces Vata,Aggravates Vata",Monsoon,Laghu,Coastal,,Cinnamon + Milk,Energy booster,1 bowl
3204,Raw Nuts,Raw Phala,Nut,554.2161921602495,20.27861840592487,19.285736317202883,53.818234879746385,10.595442438524323,"A,B6","Calcium,Copper,Iron,Magnesium",Lavana,Ushna,Madhura,Snigdha,"Reduces Vata,Aggravates Kapha",Spring,Guru,"Pan-India,South India","Underweight,Heart disease,Allergy",Cumin + Rice,"Skin health,Liver support",1/4 cup
3205,Wild Powder,Wild Churna,Spice,329.23315272640565,11.023774302478264,65.15112013831705,9.957876868412258,26.85963616229444,,Sodium,Kashaya,Ushna,Amla,"Ruksha,Manda",Aggravates Vata,All,Laghu,"Coastal,East India","Ulcer,Acidity,Pitta imbalance","Cumin + Rice,Ginger + Honey","Liver support,Respiratory health",1 tsp
3206,Farm Fresh Cream,Farm Ksheera,Dairy,36.841958460775274,2.7485324855405366,0.0,5.484158824041128,1.0281687331546236,"C,A","Selenium,Copper","Lavana,Kashaya,Tikta",Shita,Amla,"Snigdha,Ruksha","Balances Pitta,Reduces Kapha",All,Guru,Pan-India,"Lactose intolerance,Kapha imbalance",Cinnamon + Milk,"Anemia,Cooling agent",1 cup
3207,Saltwater Fish,Lavana,Fish,179.72804708881492,23.330566823046425,7.120563688878605,12.460183783867034,1.8547288502032866,"B12,C,K,B1","Sodium,Zinc,Iron,Potassium,Selenium","Lavana,Kashaya,Madhura",Ushna,Amla,Ruksha,"Aggravates Kapha,Balances Pitta,Balances Kapha","Autumn,Winter",Laghu,"Himalayan,North India",,Milk + Ghee,Digestive aid,1 fillet
3208,Organic Molasses,Organic Guda,Sweetener,442.6927752308367,0.0,103.93470806898745,0.5302798901852526,0.5547270502347206,,,"Lavana,Kashaya,Tikta",Ushna,Amla,Snigdha,Reduces Pitta,Autumn,Laghu,East India,"Diabetes,Obesity,Kapha imbalance",Cumin + Rice,"Weight management,Anemia,Digestive aid",1 cube
3209,Rich Yogurt,Rich Ksheera,Dairy,44.57853035700872,2.0948953249823443,0.0,4.74591885884917,1.736593992982972,"B12,A","Potassium,Sodium,Copper,Calcium,Magnesium","Amla,Kashaya",Shita,Amla,"Manda,Ruksha","Balances Vata,Reduces Pitta,Balances Pitta",Autumn,Guru,Himalayan,"Lactose intolerance,Kapha imbalance","Turmeric + Milk,Black pepper + Turmeric,Cinnamon + Milk",Energy booster,1 cup
3210,Green Chickpeas,Green Mudga,Legume,146.3439174538484,8.163013970680954,14.948505103937533,2.3853058770927724,6.76970379700754,"C,B3,B6","Sodium,Iron,Phosphorus,Magnesium,Calcium","Kashaya,Katu",Ushna,Amla,"Teekshna,Manda","Reduces Kapha,Reduces Vata",Monsoon,Laghu,"East India,North India","Bloating,Gas,Vata imbalance","Cardamom + Tea,Coriander + Coconut,Black pepper + Turmeric","Anemia,Immunity enhancer",50g
3211,Cold-pressed Oil,Taila,Oil,857.8352206324588,1.3866010376503475,8.448378500167731,99.26323697383786,0.0,B12,"Iron,Magnesium,Potassium",Madhura,Shita,Amla,"Teekshna,Ruksha","Balances Pitta,Balances Kapha,Aggravates Pitta","Monsoon,All",Guru,South India,"High cholesterol,Kapha imbalance,Obesity","Black pepper + Turmeric,Cloves + Tea,Coriander + Coconut","Energy booster,Immunity enhancer,Weight management",5ml
3212,Organic Nuts,Organic Bija,Nut,551.8527336510173,19.689445133118433,11.726978423097599,54.79896620451703,9.94968242196459,,"Copper,Zinc","Amla,Tikta",Shita,Madhura,Manda,Aggravates Pitta,"Spring,Monsoon",Guru,"Coastal,West India","Ulcer,Infection","Cardamom + Tea,Milk + Ghee,Cinnamon + Milk","Anemia,Constipation,Immunity enhancer",30g
3213,Tropical Fruit,Tropical Phala,Fruit,65.23618307847542,0.0,5.889921885719147,3.000056787941846,1.6460497248373807,"C,K,E","Sodium,Copper",Kashaya,Ushna,Amla,Ruksha,"Balances Pitta,Balances Vata,Reduces Pitta","Monsoon,Autumn",Guru,North India,,Cinnamon + Milk,Energy booster,1 cup sliced
3214,Baby Stem,Baby Shaka,Vegetable,20.57602795491821,1.9106505405514511,14.428433650940335,3.5774599687689643,4.2611887929865535,,"Copper,Zinc,Sodium,Potassium",Kashaya,Shita,Madhura,"Ruksha,Manda","Balances Pitta,Reduces Pitta",Winter,Laghu,Pan-India,Infection,Ginger + Honey,"Joint health,Digestive aid,Stress relief",100g
3215,Black Rice,Shali,Grain,375.38913977698576,8.925744082789285,71.7401448002868,6.805478776841063,2.9780719893307244,"B3,E,K,B1","Magnesium,Copper,Selenium,Phosphorus",Amla,Ushna,Katu,Snigdha,"Aggravates Pitta,Reduces Pitta,Balances Pitta","Autumn,Spring",Guru,Coastal,,"Ginger + Honey,Turmeric + Milk,Fennel + Mint","Weight management,Energy booster",100g
3216,Seawater Mackerel,Jala,Fish,213.16532258120125,22.91265776067227,0.0,16.183384005914192,0.9910048022616229,,Calcium,Kashaya,Shita,Amla,"Teekshna,Guru","Aggravates Vata,Balances Vata","Summer,Monsoon",Laghu,Himalayan,"Kidney disease,Heart disease,Thyroid disorder",Cardamom + Tea,"Anemia,Liver support",1 fillet
3217,Organic Root,Organic Shaka,Vegetable,44.180257723117265,1.9336558527273708,4.3718575694788875,4.900384203207885,2.7765027121443273,,"Selenium,Potassium","Lavana,Tikta",Ushna,Madhura,"Ruksha,Manda","Balances Vata,Balances Pitta","Summer,Winter",Guru,East India,,"Black pepper + Turmeric,Ginger + Honey,Coriander + Coconut","Anemia,Liver support",1 cup
3218,Organic Sugar,Sharkara,Sweetener,432.64145897016243,1.0991293273032001,106.4240031470766,2.815930569748196,1.0612818261312043,"B2,D",Iron,Amla,Ushna,Amla,Snigdha,"Aggravates Pitta,Balances Pitta,Aggravates Vata",Winter,Guru,"West India,South India","Diabetes,Obesity,Kapha imbalance","Cinnamon + Milk,Ginger + Honey","Energy booster,Joint health,Stress relief",5g
3219,Cold-pressed Oil,Taila,Oil,939.7857461363069,0.0,0.26195999401583414,99.44697235377068,1.1817499116442125,"K,B12","Potassium,Magnesium","Tikta,Lavana",Shita,Amla,Teekshna,"Balances Vata,Balances Kapha,Aggravates Vata","All,Summer",Laghu,"Himalayan,East India","Kapha imbalance,Lactation,High cholesterol,Heart disease,Obesity,Autoimmune condition","Ginger + Honey,Fennel + Mint",Weight management,1 tbsp
3220,Creamy Butter,Makkhan,Dairy,100.7567951519026,3.496006134587257,4.116305677741725,3.7504495183293978,0.0,"B6,B2,A,D","Copper,Sodium",Tikta,Ushna,Katu,"Manda,Snigdha","Reduces Pitta,Balances Kapha,Aggravates Kapha","Autumn,Monsoon",Guru,"East India,West India","Lactose intolerance,Kapha imbalance","Coriander + Coconut,Milk + Ghee,Cardamom + Tea",Skin health,1 cup
3221,Red Rice,Shali,Grain,300.4726684415491,9.706686532868133,80.1629499209838,2.3151081728627894,3.0379580358078755,D,,Tikta,Shita,Amla,Teekshna,"Reduces Pitta,Reduces Kapha,Aggravates Kapha",Spring,Guru,"Coastal,Pan-India","Underweight,Acidity,Autoimmune condition","Cloves + Tea,Cumin + Rice",Immunity enhancer,100g
3222,Farm Fresh Cheese,Farm Ksheera,Dairy,30.171346351078224,2.895215962806573,4.807760670822134,3.6350705895741973,1.845961314085237,"D,B3,B6","Magnesium,Phosphorus,Sodium","Tikta,Lavana,Madhura",Shita,Katu,"Teekshna,Laghu",Balances Kapha,Monsoon,Guru,East India,"Lactose intolerance,Kapha imbalance","Milk + Ghee,Coriander + Coconut",Digestive aid,1 cup
3223,Ocean Sardine,Ocean Shaphari,Fish,163.6689617719138,22.090752392407307,0.0,13.185224472508077,0.040981748780655414,"B12,B1,B2,B3","Copper,Phosphorus,Magnesium,Manganese","Lavana,Katu",Ushna,Amla,"Ruksha,Snigdha","Aggravates Vata,Balances Vata,Reduces Kapha",Winter,Laghu,"West India,South India","Obesity,Infection",Cinnamon + Milk,Weight management,100g
3224,Ocean Fish,Ocean Kacchap,Fish,180.98874111080053,22.610825321569052,0.0,12.42297162262085,0.19651774209018247,"E,D,A,B3",,Madhura,Ushna,Katu,"Ruksha,Manda","Aggravates Pitta,Balances Kapha,Aggravates Kapha",Winter,Guru,West India,"Fever,Diabetes,Thyroid disorder","Cloves + Tea,Coriander + Coconut","Immunity enhancer,Stress relief,Energy booster",1 piece
3225,Green Chickpeas,Green Masura,Legume,152.96205318049044,8.475625261866835,16.020693618422833,5.8980119878490935,8.45259053740356,"D,B6,E,B12","Potassium,Copper,Iron,Magnesium,Manganese","Lavana,Kashaya",Shita,Katu,"Laghu,Guru","Balances Vata,Aggravates Pitta,Balances Pitta","All,Spring",Guru,Coastal,"Bloating,Gas,Vata imbalance",Turmeric + Milk,"Anemia,Energy booster",50g
3226,Split Peas,Split Mudga,Legume,73.91531665777325,9.8896849318564,10.300209774919278,2.8080977026074674,7.27342463727489,D,,"Lavana,Amla",Ushna,Amla,"Ruksha,Snigdha","Aggravates Vata,Reduces Kapha","Monsoon,Winter",Laghu,Pan-India,"Bloating,Gas,Vata imbalance","Cinnamon + Milk,Cloves + Tea,Ginger + Honey",Energy booster,50g
3227,Baby Leaf,Baby Mula,Vegetable,62.77484510898542,2.9381284033434207,0.4781491200243586,0.0,3.0056088002278445,,,"Madhura,Lavana",Ushna,Amla,"Ruksha,Laghu",Aggravates Kapha,"Winter,All",Guru,"Pan-India,Coastal",,"Fennel + Mint,Milk + Ghee","Respiratory health,Skin health,Cooling agent",100g
3228,Whole Extract,Whole Churna,Spice,270.656279516724,12.759506258358044,53.59764277019074,9.758314305642251,26.711023700640162,B2,"Zinc,Magnesium,Calcium,Sodium,Copper","Katu,Lavana",Shita,Amla,Manda,"Aggravates Kapha,Balances Kapha",Autumn,Laghu,East India,"Ulcer,Acidity,Pitta imbalance","Cumin + Rice,Milk + Ghee","Stress relief,Constipation,Energy booster",pinch
3229,Wild Flower,Wild Mula,Vegetable,30.39482939724094,2.230112245918072,0.0,0.27823286812546477,2.714754734015095,,"Sodium,Calcium,Iron,Phosphorus","Kashaya,Lavana,Katu",Shita,Amla,Snigdha,"Reduces Pitta,Balances Pitta","All,Spring",Laghu,South India,,Cardamom + Tea,"Joint health,Weight management,Skin health",1 cup
3230,Raw Sugar,Sharkara,Sweetener,356.0469861731475,0.0,93.2622222080192,0.21557329788223845,0.43859088249073874,"E,A,C","Copper,Sodium","Lavana,Madhura,Tikta",Shita,Madhura,Manda,Reduces Vata,"All,Winter",Laghu,"Himalayan,Coastal","Diabetes,Obesity,Kapha imbalance","Cloves + Tea,Cardamom + Tea,Coriander + Coconut","Immunity enhancer,Digestive aid,Liver support",1 tsp
3231,Wild Apple,Wild Falasava,Fruit,100.93051246942335,0.4125702490668923,13.915156119676341,3.5092482735651664,3.491923101098587,B1,"Potassium,Calcium,Iron,Magnesium","Lavana,Madhura,Tikta",Shita,Amla,"Teekshna,Snigdha",Reduces Vata,All,Laghu,West India,,Cumin + Rice,Anemia,1 medium
3232,Wild Essence,Wild Churna,Spice,265.901059136966,13.326575734039642,69.40255450330281,9.881671844997872,26.10882028967152,"B1,E,B12","Magnesium,Zinc",Tikta,Shita,Madhura,Manda,Balances Kapha,"Winter,All",Laghu,"Himalayan,West India","Ulcer,Acidity,Pitta imbalance",Fennel + Mint,Respiratory health,pinch
3233,Natural Sugar,Sharkara,Sweetener,384.5061119274681,0.0,106.63524019501321,3.6469088060361115,0.4022912242652126,,"Manganese,Magnesium,Copper","Katu,Amla,Lavana",Shita,Amla,Manda,Aggravates Kapha,"Spring,Winter",Laghu,"Himalayan,North India","Diabetes,Obesity,Kapha imbalance","Cinnamon + Milk,Black pepper + Turmeric,Coriander + Coconut","Anemia,Joint health",1 cube
3234,White Rice,Shali,Grain,307.8054106942127,7.812406723775027,65.29224585681467,2.1167967842906013,4.136278055184979,"D,B12,K,C","Sodium,Selenium,Calcium","Amla,Katu",Shita,Katu,"Laghu,Teekshna","Aggravates Pitta,Aggravates Vata,Balances Kapha","Winter,Monsoon",Guru,"North India,East India",,"Cardamom + Tea,Milk + Ghee,Turmeric + Milk","Anemia,Constipation",100g
3235,Creamy Cream,Creamy Dugdha,Dairy,46.86776196013499,2.8289100661722895,5.899113928573897,6.693145422255128,1.3100279253516502,"B1,B2","Magnesium,Calcium,Sodium,Manganese",Madhura,Ushna,Katu,"Snigdha,Guru","Balances Kapha,Balances Pitta,Reduces Vata","Monsoon,All",Laghu,Pan-India,"Lactose intolerance,Kapha imbalance","Cardamom + Tea,Cumin + Rice,Cinnamon + Milk",Constipation,1 cup
3236,Black Peas,Black Mudga,Legume,164.10858355866853,9.077418269040155,21.05699021271584,2.9372291649692643,7.569662537708597,"A,C","Potassium,Iron,Calcium,Manganese","Lavana,Tikta",Ushna,Katu,"Teekshna,Guru",Reduces Pitta,"All,Winter",Laghu,"South India,East India","Vata imbalance,Pregnancy,Lactation,Gas,Bloating","Cardamom + Tea,Cumin + Rice,Cloves + Tea","Joint health,Constipation,Energy booster",50g
3237,Tropical Apple,Tropical Amritaphala,Fruit,35.47991276273616,2.0762450057540933,21.372190892008327,1.2170627322880552,2.783456690141138,"B6,E,C","Manganese,Magnesium","Katu,Lavana,Kashaya",Ushna,Katu,Manda,"Balances Vata,Balances Pitta","Autumn,Winter",Laghu,"East India,West India",Thyroid disorder,"Black pepper + Turmeric,Cloves + Tea,Turmeric + Milk","Digestive aid,Anemia",1 medium
3238,Wild Apple,Wild Falasava,Fruit,82.546027352521,0.22408984295799772,14.673536868017127,1.1208963614326688,2.9677487784769037,"B3,A,B6","Phosphorus,Copper,Sodium,Magnesium,Iron","Kashaya,Katu,Amla",Ushna,Amla,Laghu,"Reduces Pitta,Aggravates Kapha,Balances Pitta","Autumn,Summer",Laghu,Pan-India,,"Turmeric + Milk,Black pepper + Turmeric,Cumin + Rice","Liver support,Digestive aid,Energy booster",1 medium
3239,Freshwater Fish,Jala,Fish,247.99993276178785,21.87790675754356,0.4756755403483659,12.383859802567352,0.0,B2,Sodium,Lavana,Shita,Amla,"Ruksha,Manda","Balances Vata,Balances Kapha,Aggravates Vata",Autumn,Laghu,"East India,Himalayan","Lactation,Thyroid disorder",Cardamom + Tea,Skin health,1 piece
3240,Seawater Tuna,Jala,Fish,169.08616424403846,21.764650202731442,0.0,11.36298355077567,1.4152830787289112,B1,"Sodium,Manganese,Selenium","Amla,Lavana",Shita,Katu,Ruksha,Aggravates Vata,"Spring,Summer",Guru,Himalayan,,Black pepper + Turmeric,"Anemia,Digestive aid",1 piece
3241,Rich Milk,Ksheera,Dairy,49.315513469274,2.8627282740328783,8.3600462482743,5.474920694232571,1.6384196829499387,B1,"Phosphorus,Potassium,Iron,Zinc,Copper",Tikta,Ushna,Katu,"Laghu,Manda",Aggravates Kapha,Autumn,Laghu,"South India,Pan-India","Lactose intolerance,Kapha imbalance","Turmeric + Milk,Cumin + Rice","Weight management,Liver support,Cooling agent",1 cup
3242,Natural Sugar,Sharkara,Sweetener,444.0114365068506,0.3539005383440612,90.19788730325968,0.0,0.0,"B12,B3,D","Magnesium,Iron,Sodium",Lavana,Ushna,Katu,"Laghu,Guru","Balances Kapha,Balances Pitta",Winter,Laghu,"West India,Coastal","Lactation,Diabetes,Obesity,Kapha imbalance",Coriander + Coconut,"Cooling agent,Skin health,Digestive aid",5g
3243,Red Lentils,Red Mudga,Legume,78.20981386158032,10.686014346507816,26.375086932316854,4.427805165626502,7.672154676380707,E,"Magnesium,Iron,Sodium,Manganese","Amla,Kashaya,Madhura",Shita,Amla,"Ruksha,Manda",Aggravates Vata,"All,Summer",Laghu,"East India,Himalayan","Liver disease,Vata imbalance,Gas,Thyroid disorder,Bloating","Ginger + Honey,Black pepper + Turmeric,Coriander + Coconut","Immunity enhancer,Constipation",50g
3244,Rich Cheese,Rich Dadhi,Dairy,106.80611800806071,2.0576471048563536,3.624480457168511,2.7945319946645553,0.4873696913566016,C,,"Lavana,Amla",Shita,Katu,"Guru,Ruksha",Reduces Vata,"Monsoon,Winter",Laghu,Coastal,"Lactose intolerance,Kapha imbalance","Cumin + Rice,Ginger + Honey,Cardamom + Tea","Anemia,Stress relief,Energy booster",1 glass
3245,Split Beans,Split Mudga,Legume,144.08394472741634,8.279496168893807,10.29112117490735,1.275359512731383,7.522805283721166,"B3,D,B12",,"Katu,Tikta",Shita,Madhura,"Guru,Teekshna","Aggravates Pitta,Aggravates Vata","Summer,Monsoon",Laghu,"West India,East India","Bloating,Gas,Fever,Vata imbalance",Cardamom + Tea,"Liver support,Digestive aid",1 bowl
3246,Lean Chicken,Lean Charma,Meat,288.3028187761581,24.632916623189573,6.364301546135568,17.368555301129298,1.967683231597948,,Sodium,Kashaya,Shita,Madhura,"Manda,Teekshna",Aggravates Pitta,Monsoon,Guru,"Pan-India,East India","High cholesterol,Heart disease",Milk + Ghee,"Skin health,Joint health,Constipation",100g
3247,Green Beans,Green Chanaka,Legume,155.8886129118711,9.234234459263124,15.016867102779813,5.141177536578695,7.409544068607259,,"Calcium,Manganese",Katu,Shita,Katu,"Guru,Ruksha","Aggravates Kapha,Balances Pitta,Balances Kapha",Spring,Guru,"Pan-India,South India","Bloating,Gas,Vata imbalance","Milk + Ghee,Cardamom + Tea","Weight management,Immunity enhancer",50g
3248,Tropical Apple,Tropical Phala,Fruit,62.46131218536988,2.214333221923772,11.362051610718922,3.377077724310581,3.5777037987930562,"B6,C","Potassium,Phosphorus,Manganese,Sodium,Magnesium","Amla,Katu,Lavana",Ushna,Madhura,Ruksha,"Aggravates Vata,Reduces Kapha","All,Monsoon",Laghu,"West India,South India",,Milk + Ghee,Joint health,100g
3249,Sweet Apple,Sweet Falasava,Fruit,43.48668728620372,0.0,13.897814229639973,2.802894052320608,3.058080704759935,"B2,B6","Sodium,Zinc","Madhura,Lavana,Tikta",Ushna,Amla,"Ruksha,Teekshna","Reduces Kapha,Reduces Pitta",Monsoon,Laghu,"Pan-India,East India",,Cloves + Tea,Stress relief,1 medium
3250,Ocean Fish,Ocean Kacchap,Fish,207.60177634851794,21.92792855232394,2.6112725335729987,12.261737762689487,0.0,C,"Magnesium,Potassium,Manganese,Selenium,Sodium",Madhura,Shita,Amla,"Snigdha,Guru",Aggravates Pitta,Summer,Guru,North India,,"Coriander + Coconut,Black pepper + Turmeric,Cinnamon + Milk",Weight management,1 fillet
3251,Himalayan Essence,Himalayan Kalka,Spice,283.7861454468915,11.792907565295282,63.517261191637445,5.772144036359749,25.55316173842277,"A,B3,D","Calcium,Zinc","Amla,Lavana",Shita,Katu,Snigdha,Balances Vata,"All,Autumn",Laghu,East India,"Hypertension,Pitta imbalance,Ulcer,Acidity,Diabetes,Obesity",Coriander + Coconut,Anemia,1g
3252,Red Lentils,Red Mudga,Legume,119.09856259839114,8.009454933853569,27.402434473430517,3.9456525522824357,8.20364253551823,K,,"Tikta,Madhura",Ushna,Madhura,"Laghu,Teekshna","Aggravates Kapha,Reduces Vata,Balances Vata",Spring,Laghu,"Coastal,Himalayan","Vata imbalance,Hypertension,Gas,Bloating,Autoimmune condition","Milk + Ghee,Cumin + Rice","Digestive aid,Stress relief,Constipation",50g
3253,Split Lentils,Split Masura,Legume,138.5492006598144,10.525287885525623,25.691260473312845,1.7275841996136063,7.869563282018266,B6,"Zinc,Copper,Phosphorus","Kashaya,Lavana,Katu",Ushna,Madhura,Ruksha,"Balances Pitta,Reduces Vata",Summer,Laghu,East India,"Vata imbalance,Lactation,Gas,Bloating,Diabetes",Cinnamon + Milk,"Digestive aid,Immunity enhancer",50g
3254,Wild Kernels,Wild Bija,Nut,576.2901435650921,20.80826204700234,29.53633202387956,52.00635012593465,10.666585976231184,"C,E,B12","Selenium,Magnesium,Manganese",Kashaya,Ushna,Madhura,"Snigdha,Laghu","Aggravates Pitta,Aggravates Vata",Spring,Guru,East India,,"Black pepper + Turmeric,Milk + Ghee,Turmeric + Milk",Anemia,handful
3255,Organic Kernels,Organic Kanda,Nut,637.2072229067198,19.197126431707982,12.225237937375459,50.4173010373184,10.013234044824397,B12,,"Kashaya,Tikta,Madhura",Ushna,Amla,"Guru,Snigdha",Balances Vata,All,Laghu,Himalayan,,Turmeric + Milk,"Constipation,Weight management",1/4 cup
3256,Organic Syrup,Organic Madhu,Sweetener,357.74471578614316,0.04404029181736946,109.20121571883881,0.032218971993872136,0.0,"D,B2,B6,C","Phosphorus,Copper,Selenium,Calcium,Magnesium","Tikta,Madhura,Lavana",Shita,Madhura,"Teekshna,Snigdha",Balances Pitta,Summer,Laghu,"Coastal,West India","Diabetes,Obesity,Kapha imbalance",Cinnamon + Milk,Constipation,1 tsp
3257,Organic Powder,Organic Churna,Spice,277.1436451702856,12.565585407608728,62.419704423476986,9.913031751814845,24.518382330664302,"A,D,B2",Magnesium,"Kashaya,Tikta",Shita,Madhura,Guru,"Balances Kapha,Aggravates Pitta,Aggravates Vata",Spring,Guru,"Coastal,Himalayan","Ulcer,Acidity,Pitta imbalance","Black pepper + Turmeric,Coriander + Coconut","Energy booster,Stress relief",1g
3258,Sweet Melon,Sweet Phala,Fruit,99.46421029308792,1.1798133495613599,20.420169543652726,1.786944932886329,3.9095841329082144,"E,B1,K","Calcium,Sodium,Manganese,Potassium","Madhura,Lavana",Shita,Madhura,Ruksha,"Balances Pitta,Aggravates Vata",Spring,Laghu,North India,,"Ginger + Honey,Turmeric + Milk,Fennel + Mint",Weight management,1 medium
3259,Golden Millet,Golden Godhuma,Grain,334.90635964654183,8.169972106676735,79.02458267076248,6.478432065434102,3.644457421025225,"B6,D,C","Calcium,Selenium","Katu,Lavana,Kashaya",Shita,Katu,"Guru,Teekshna",Aggravates Vata,Monsoon,Laghu,Coastal,,Black pepper + Turmeric,"Skin health,Anemia,Weight management",100g
3260,White Rice,Shali,Grain,354.0118143781603,8.172724570845109,80.98662209712084,2.143439214847115,3.2485475950466274,B2,"Zinc,Magnesium,Potassium","Tikta,Lavana,Amla",Shita,Katu,Manda,Aggravates Pitta,Autumn,Laghu,Himalayan,,"Fennel + Mint,Cinnamon + Milk,Cumin + Rice",Joint health,100g
3261,Wild Essence,Wild Churna,Spice,301.92593165342987,12.622955764661935,64.25319674454056,4.9489519913705715,25.472358220075183,K,"Potassium,Selenium,Phosphorus,Copper",Katu,Shita,Madhura,Laghu,Balances Vata,Summer,Laghu,"West India,North India","Ulcer,Acidity,Pitta imbalance",Black pepper + Turmeric,"Skin health,Respiratory health",1 tsp
3262,Natural Syrup,Natural Madhu,Sweetener,388.0370643849301,0.8435962168454236,98.50353883198015,0.0,1.563485468530878,"D,K,B6,B1",Selenium,"Amla,Kashaya",Shita,Amla,"Teekshna,Guru","Reduces Vata,Aggravates Kapha","Autumn,Summer",Guru,North India,"Diabetes,Obesity,Kapha imbalance",Turmeric + Milk,"Immunity enhancer,Constipation,Weight management",1 cube
3263,Grass-fed Lamb,Grass-fed Asthi,Meat,241.7390217878388,25.516817601136204,9.934989086748484,19.7634338911475,0.0,B12,"Copper,Calcium,Sodium,Manganese","Tikta,Kashaya,Katu",Ushna,Amla,"Guru,Ruksha",Balances Pitta,Autumn,Laghu,West India,"Pregnancy,High cholesterol,Allergy,Infection,Heart disease","Turmeric + Milk,Cloves + Tea,Cumin + Rice",Weight management,1 piece
3264,Golden Oats,Golden Dhanya,Grain,346.786738743315,9.820587332802665,80.97813193033505,2.72931736823443,4.781440707242153,"B12,B1,E","Manganese,Calcium,Selenium",Amla,Ushna,Madhura,"Teekshna,Laghu","Aggravates Kapha,Reduces Vata,Balances Pitta","Summer,All",Laghu,North India,,Black pepper + Turmeric,"Immunity enhancer,Weight management,Skin health",1 cup cooked
3265,Organic Powder,Organic Phala,Spice,279.9872837838972,12.598255454175504,59.497761853949406,5.145851894370118,25.023243639242548,"K,B6,C,B12",,"Madhura,Katu,Amla",Shita,Madhura,Laghu,Balances Pitta,"Autumn,Monsoon",Laghu,"Coastal,North India","Ulcer,Acidity,Fever,Pitta imbalance","Cinnamon + Milk,Ginger + Honey,Coriander + Coconut",Constipation,pinch
3266,Free-range Pork,Free-range Mamsa,Meat,204.76037220263822,26.860385800223952,0.0,19.13649561597557,1.8251923554592464,E,"Copper,Calcium","Kashaya,Amla,Tikta",Shita,Amla,"Guru,Manda","Balances Kapha,Balances Pitta,Aggravates Kapha","Winter,Summer",Guru,Coastal,"High cholesterol,Heart disease",Milk + Ghee,"Stress relief,Anemia,Skin health",100g
3267,Split Peas,Split Masura,Legume,71.36790609876856,8.752532954491755,12.613053227930779,4.140642684720555,7.645802916735239,B1,"Calcium,Iron,Selenium,Zinc","Kashaya,Amla",Ushna,Madhura,Guru,Reduces Pitta,"Spring,Summer",Guru,Pan-India,"Bloating,Gas,Acidity,Vata imbalance",Cloves + Tea,"Respiratory health,Constipation",1 bowl
3268,Organic Butter,Makkhan,Oil,879.2114594381807,0.0,0.0,102.10863933321829,0.9677446853761218,"B2,B12,C,B6","Sodium,Manganese,Phosphorus,Magnesium","Katu,Madhura,Lavana",Ushna,Katu,"Teekshna,Snigdha",Aggravates Pitta,"Summer,Spring",Laghu,"North India,East India","High cholesterol,Kapha imbalance,Obesity",Coriander + Coconut,"Weight management,Liver support,Energy booster",1 tbsp
3269,Wild Chicken,Wild Asthi,Meat,239.38683498913747,26.27734826424554,0.0,14.15651634670083,0.6487073456588404,"B2,B3,C","Copper,Manganese",Tikta,Shita,Katu,"Laghu,Guru","Reduces Pitta,Reduces Vata",Winter,Guru,Coastal,"High cholesterol,Heart disease",Cloves + Tea,"Liver support,Respiratory health",1 piece
3270,Whole Peas,Whole Mudga,Legume,104.90235120304631,10.51190371612685,20.438776942709417,1.715900387662878,7.112893719733789,E,"Zinc,Copper,Selenium,Magnesium","Katu,Amla,Tikta",Shita,Amla,"Snigdha,Ruksha","Reduces Kapha,Balances Vata",Monsoon,Laghu,"South India,West India","Bloating,Gas,Vata imbalance","Milk + Ghee,Fennel + Mint,Coriander + Coconut",Respiratory health,1/2 cup cooked
